기관명,기관구분,주소,홈페이지,위도,경도
(복지)예사랑병원,병원,부산광역시 서구 옥천로130번길 38 (아미동2가),,35.0973354790723 ,129.0132412679800 
(의)고담의료재단마더스병원,병원,울산광역시 남구 화합로 107 (달동),http://motherth.co.kr/,35.5343934088755 ,129.3405213764080 
(의)나사렛의료재단 나사렛국제병원,종합병원,인천광역시 연수구 먼우금로 98- (동춘동),https://www.nasaret.co.kr/,37.4079490183211 ,126.6704837971990 
(의)아나의료재단강릉아나병원,병원,강원도 강릉시 용지로 129 129,www.anahospital.kr,,
(재)예수의꽃동네유지재단 인곡자애병원,병원,충청북도 음성군 맹동면 꽃동네길 37-0 (),,36.9421499109208 ,127.5775580203580 
(재)천주의성요한병원,중독관리통합지원센터,"광주광역시 북구 태봉로 32, 유동 115-1",http://www.yohanhos.or.kr/,35.1603325685691 ,126.9036025343090 
(학)일송학원 한림대학교성심병원,기초정신건강복지센터,관평로170번길 22,https://hallym.hallym.or.kr/,37.3916511965629 ,126.9619721758120 
21C한일병원,병원,경상남도 거제시 사등면 지석리 580-4,http://www.21c-hanil.co.kr/,34.9017387248096 ,128.5204554889070 
BH병원,병원,부산광역시 남구 수영로 165,http://www.bh-hospital.co.kr/,35.1350034349558 ,129.0846496278880 
Dr. 고 신경정신과의원,의원,서울특별시 광진구 능동로 324 3층 (중곡동),,37.5583892239032 ,127.0803897376450 
Dr.신형직의비타민정신과의원,의원,"강원도 강릉시 경강로 2109 6층 (임당동, 문선빌딩)",,37.7556744393803 ,128.8971828924030 
e-맑은정신과의원,의원,부산광역시 영도구 태종로 97 (대교동2가),,35.0917066117030 ,129.0414843065410 
M병원,병원,대구광역시 북구 팔달로 147 (노원동3가),,35.8894327643501 ,128.5661976582460 
The(더)공감 정신건강의학과의원,의원,940 3층(조원동 일호골든타워) ,http://www.suwonpsy.com/,,
W정신건강의학과의원,의원,경기도 성남시 분당구 판교역로 178 서건타워 402호,http://www.wmindclinic.com/,37.3965078380505 ,127.1100541068710 
Y정신건강의학과의원,의원,"경기도 화성시 동탄반석로 134 302호 (반송동, 에이치원메디컬센터)",,37.2010631102177 ,127.0713607968140 
가득한집,정신재활시설,"서울특별시 금천구 시흥대로 133-7, 301호(시흥동)",www.homelessness.or.kr,37.4459942451557 ,126.9027798913460 
가람슬기,정신재활시설,"서울특별시 광진구 천호대로 116길 109, 301",www.가람슬기.kr,,
가람신경정신과의원,의원,서울특별시 관악구 시흥대로 554 (신림동),http://www.garam-clinic.com/main/main.php,,
가로수정신건강의학과의원,의원,인천광역시 남동구 논고개로 114 에이스타워 203호 (논현동),https://garosupsychiatry.com/,37.4014435994824 ,126.7246684768640 
가야신경정신과의원,의원,"부산광역시 사상구 가야대로 288 202호 (주례동, 창조상가)",,35.1500075358487 ,129.0040866919430 
가오푸른정신건강의학과의원,의원,"대전광역시 동구 동구청로 95 2층 201호 (가오동, 예시티)",https://lkipsy.modoo.at/,36.3065069481971 ,127.4567390203140 
가온길,정신재활시설,"서울특별시 노원구 공릉로 58나길 17, 2층(하계동)",,37.6364448403342 ,127.0735236105210 
가온누리,정신재활시설,충청남도 아산시 번영로 169번길 6-5,www.gaon-nuri.or.kr,36.7858993712246 ,127.0101500528660 
가인정신건강의학과의원,의원,"경기도 광주시 중앙로 95-3 (역동, 서울클리닉센터 B동 702호)",http://www.gainmind.co.kr/,37.4080711470986 ,127.2586441144680 
가족사랑서울정신건강의학과의원,의원,서울특별시 영등포구 당산로 222 (당산동5가),http://www.ifamilylove.co.kr/,37.5332447828491 ,126.9022911228540 
